symbol,datetime,high,low,open,close
R_100,2022.02.04 07:45:00,7871.28,7855.34,7855.35,7869.43
R_100,2022.02.04 07:46:00,7868.73,7855.5,7868.73,7861.98
R_100,2022.02.04 07:47:00,7862.85,7850.68,7859.34,7854.4
R_100,2022.02.04 07:48:00,7852.48,7841.29,7852.48,7845.12
R_100,2022.02.04 07:49:00,7852.36,7839.19,7841.6,7847.26
R_100,2022.02.04 07:50:00,7861.54,7843.69,7843.69,7860.81
R_100,2022.02.04 07:51:00,7865.17,7858.17,7863.36,7863.31
R_100,2022.02.04 07:52:00,7866.95,7858.53,7862.27,7858.53
R_100,2022.02.04 07:53:00,7856.47,7841.9,7856.47,7842.04
R_100,2022.02.04 07:54:00,7843.81,7831.45,7841.26,7838.22
R_100,2022.02.04 07:55:00,7843.42,7813.64,7836.68,7815.41
R_100,2022.02.04 07:56:00,7822.79,7810.23,7817.08,7821.01
R_100,2022.02.04 07:57:00,7838.23,7817.95,7821.57,7838.23
R_100,2022.02.04 07:58:00,7860.95,7838.2,7839.86,7860.95
R_100,2022.02.04 07:59:00,7872.35,7857.69,7862.59,7871.8
R_100,2022.02.04 08:00:00,7889.7,7870.78,7872.41,7887.67
R_100,2022.02.04 08:01:00,7899.17,7881.69,7887.89,7897.94
R_100,2022.02.04 08:02:00,7915.07,7898.95,7899.81,7915.07
R_100,2022.02.04 08:03:00,7918.5,7904.65,7912.78,7905.23
R_100,2022.02.04 08:04:00,7909.81,7899.22,7905.08,7899.46
R_100,2022.02.04 08:05:00,7903.23,7893.09,7896.08,7894.26
R_100,2022.02.04 08:06:00,7914.27,7891.77,7893.98,7911
R_100,2022.02.04 08:07:00,7914.91,7886.41,7914.91,7890.7
R_100,2022.02.04 08:08:00,7908.38,7888.06,7892.36,7908.38
R_100,2022.02.04 08:09:00,7912.93,7890.47,7909.02,7890.86
R_100,2022.02.04 08:10:00,7903.37,7885.2,7890.92,7897.41
R_100,2022.02.04 08:11:00,7907.49,7893.79,7896.27,7907.49
R_100,2022.02.04 08:12:00,7914.68,7899.84,7909.75,7911.26
R_100,2022.02.04 08:13:00,7915.34,7900.04,7909.94,7904.2
R_100,2022.02.04 08:14:00,7939.13,7901.35,7901.35,7939.13
R_100,2022.02.04 08:15:00,7942.35,7929.2,7938.86,7934.61
R_100,2022.02.04 08:16:00,7943.78,7931.8,7937.1,7933.6
R_100,2022.02.04 08:17:00,7944.94,7937.54,7937.54,7939.51
R_100,2022.02.04 08:18:00,7947.4,7932.85,7938.92,7932.85
R_100,2022.02.04 08:19:00,7933.46,7925.41,7930.88,7931.77
R_100,2022.02.04 08:20:00,7934.94,7918.46,7932.84,7924.03
R_100,2022.02.04 08:21:00,7934.21,7918.81,7926.76,7918.81
R_100,2022.02.04 08:22:00,7934.94,7918.91,7920.25,7931.55
R_100,2022.02.04 08:23:00,7934.7,7926.35,7932.05,7927.84
R_100,2022.02.04 08:24:00,7933.76,7921.71,7929.7,7928.22
R_100,2022.02.04 08:25:00,7927.95,7918.39,7926.06,7921.93
R_100,2022.02.04 08:26:00,7920.29,7907.36,7918.73,7911.98
R_100,2022.02.04 08:27:00,7917.12,7904.98,7912.37,7904.98
R_100,2022.02.04 08:28:00,7914.32,7899.36,7908.64,7912.43
R_100,2022.02.04 08:29:00,7910.96,7890.2,7910.68,7890.2
R_100,2022.02.04 08:30:00,7891.5,7879.88,7888,7891.43
R_100,2022.02.04 08:31:00,7898.3,7885.68,7894.9,7886.37
R_100,2022.02.04 08:32:00,7898.71,7884.83,7884.83,7895.36
R_100,2022.02.04 08:33:00,7903.39,7891.74,7896.93,7897.01
R_100,2022.02.04 08:34:00,7897.22,7885.73,7895.84,7892.33
R_100,2022.02.04 08:35:00,7894.03,7885.74,7889.34,7892.21
R_100,2022.02.04 08:36:00,7899.2,7883.49,7889.6,7899.2
R_100,2022.02.04 08:37:00,7901.98,7889.92,7898.95,7895.89
R_100,2022.02.04 08:38:00,7895.5,7876.36,7895.5,7878.17
R_100,2022.02.04 08:39:00,7887.44,7876.72,7876.72,7881.82
R_100,2022.02.04 08:40:00,7894.63,7879.1,7884.57,7894.63
R_100,2022.02.04 08:41:00,7908.63,7895.73,7895.73,7906.55
R_100,2022.02.04 08:42:00,7909.39,7899.1,7905.75,7906.88
R_100,2022.02.04 08:43:00,7912.53,7901.2,7905.98,7906.57
R_100,2022.02.04 08:44:00,7922.26,7904.15,7906.43,7922.26
R_100,2022.02.04 08:45:00,7932.03,7906.03,7923.33,7906.47
R_100,2022.02.04 08:46:00,7915.52,7902.54,7904,7914.69
R_100,2022.02.04 08:47:00,7915.17,7904.6,7915.17,7912.83
R_100,2022.02.04 08:48:00,7919.29,7906.91,7912.71,7918.73
R_100,2022.02.04 08:49:00,7931.81,7911.15,7919.67,7918.21
R_100,2022.02.04 08:50:00,7921.65,7910.53,7917.74,7911.22
R_100,2022.02.04 08:51:00,7922.19,7909.83,7913.79,7921.85
R_100,2022.02.04 08:52:00,7927.45,7917.51,7919.74,7926.19
R_100,2022.02.04 08:53:00,7926.58,7918.27,7925.55,7920.37
R_100,2022.02.04 08:54:00,7919.43,7903.45,7917.96,7910.24
R_100,2022.02.04 08:55:00,7919.87,7902,7913.53,7908.62
R_100,2022.02.04 08:56:00,7917.1,7908.39,7911.46,7917.1
R_100,2022.02.04 08:57:00,7919.16,7908.19,7918.52,7908.92
R_100,2022.02.04 08:58:00,7920.04,7906.25,7911.36,7920.04
R_100,2022.02.04 08:59:00,7936.52,7924,7924,7925.98
R_100,2022.02.04 09:00:00,7933.11,7918.57,7927.92,7920.12
R_100,2022.02.04 09:01:00,7932.75,7918.39,7920.77,7918.39
R_100,2022.02.04 09:02:00,7924.97,7918,7921.33,7920.88
R_100,2022.02.04 09:03:00,7922.32,7905.95,7922.32,7912.96
R_100,2022.02.04 09:04:00,7924.86,7912.37,7912.37,7919.14
R_100,2022.02.04 09:05:00,7932.44,7917.68,7922.03,7932.44
R_100,2022.02.04 09:06:00,7935.03,7926.46,7930.96,7931.91
R_100,2022.02.04 09:07:00,7940.51,7924.95,7932.59,7938.08
R_100,2022.02.04 09:08:00,7942.96,7933.2,7939.38,7933.2
R_100,2022.02.04 09:09:00,7935.38,7915.35,7935.38,7920.09
R_100,2022.02.04 09:10:00,7925.37,7911.57,7925.37,7914.59
R_100,2022.02.04 09:11:00,7925.43,7916.62,7917.8,7916.62
R_100,2022.02.04 09:12:00,7923.91,7917.9,7920.62,7922.23
R_100,2022.02.04 09:13:00,7923.12,7915.34,7920.53,7916.63
R_100,2022.02.04 09:14:00,7928.52,7918.02,7918.02,7927.89
R_100,2022.02.04 09:15:00,7933.45,7922.7,7926.62,7928.83
R_100,2022.02.04 09:16:00,7933.97,7922.65,7930.22,7922.65
R_100,2022.02.04 09:17:00,7931.91,7920.8,7923.93,7931.91
R_100,2022.02.04 09:18:00,7936.56,7920.81,7928.04,7929.29
